entity_type,entity_key,lang,field,value,source,provenance
habitat_type,eunis@2021:N11,de,description,"Der atlantische, baltische und arktische Sandstrand ist ein linienhafter Lebensraum an den Sandküsten des Atlantiks und des Nordpolarmeers sowie der Nord- und Ostsee. Er ist überwiegend unbewachsen und artenarm. Typisch sind einjährige Pflanzen, häufig Halophyten, die zeitweise auf den Sedimenten der Spülsaumlinie erscheinen. An weniger dynamischen Stränden, etwa rund um die Ostsee, sind ausdauernde Arten einschließlich einiger Brackwasser- und Süßwassersumpfpflanzen kennzeichnend. Vulkanische Sedimente verleihen den isländischen Küsten ein eigenes Gepräge. Charakteristische Wirbellose prägen die Strände und ihre Spülsäume und dienen einigen Watvögeln als Nahrung.",situs@0.7.0,situs
habitat_type,eunis@2021:N12,de,description,"Ein weitgehend unbewachsenes linienhaftes Element geschützter Küsten des Mittelmeers und des Schwarzen Meeres, auf dem sich auf angehäuftem Sand, Kies und verrottendem Pflanzenmaterial eine fragmentarische und unstete Vegetationsdecke entwickelt. Diese besteht typischerweise aus vereinzelten einjährigen Halophyten; wo Sandrücken durch Stürme über die normale Tidengrenze hinaus aufgeworfen werden, können auch ausdauernde Pionierarten der Dünen auftreten.",situs@0.7.0,situs
habitat_type,eunis@2021:N13,de,description,"Primäre, wandernde (sogenannte Weiß-)Dünen dynamischer Küstensande entlang der Atlantik-, Nordsee- und Ostseeküsten. Frühe Pionierarten oberhalb der Spülsaumlinie fangen den vom Strand verwehten Sand ab und leiten die Entwicklung von Vor- und dann Embryonaldünen ein. Diese können mit späteren Stürmen wieder verschwinden oder zu höheren, beweglichen Dünen aufwachsen, die landeinwärts wandern, bisweilen gewaltige Ausmaße erreichen und ausgeprägte Rücken mit dazwischenliegenden Tälern bilden. Ammophila arenaria ist in den mittleren bis späten Stadien die weit verbreitete dominante Art. Dieses Gras ist besonders gut an raschen Aufwuchs und ständig wandernden Sand angepasst. Leymus arenarius und × Ammocalamagrostis baltica übernehmen in kälteren Regionen eine ähnliche Rolle; die letztgenannte Hybride wird bei Anpflanzungen im Küstenschutz bevorzugt. Die Vegetationsdecke auf dem stark dränenden, nährstoffarmen und nahezu humusfreien Sand ist typischerweise offen und artenarm; einige Arten zeigen die regionalen Temperaturunterschiede an, dazu kommen auffällige Pilze. Auch spezialisierte Käfer sind kennzeichnend.",situs@0.7.0,situs
habitat_type,eunis@2021:N14,de,description,"Primäre, wandernde (Weiß-)Dünen dynamischer Küstensande am Schwarzen Meer und am Mittelmeer sowie im atlantischen Bereich der südwestlichen Iberischen Halbinsel und Makaronesiens. Frühe Pionierarten oberhalb der Spülsaumlinie fangen den vom Strand verwehten Sand ab und leiten die Entwicklung von Embryonaldünen ein. Diese können mit späteren Stürmen wieder verschwinden oder zu höheren, beweglichen Weißdünen aufwachsen, die landeinwärts wandern. Außer in Makaronesien ist Ammophila arenaria (im Mittelmeerraum subsp. arundinacea) in den mittleren bis späten Stadien die dominante Art; die Begleitflora auf den durchlässigen, nährstoffarmen Sanden ist begrenzt und spärlich.",situs@0.7.0,situs
habitat_type,eunis@2021:N15,de,description,"Grasland auf den festgelegten Sanden älterer (Grau-)Dünen entlang der atlantischen Küsten (Süd- bis Mittelportugal) sowie der Nord- und Ostseeküsten. Das sandige Substrat, dünn mit angesammeltem Humus angereichert, ist gut dräniert und kann im Sommer austrocknen. Mit einer meist mehr oder weniger geschlossenen Decke aus (verhältnismäßig niedrigen) Gräsern, Kräutern, Moosen und Flechten, mitunter mit niedrigen Sträuchern, gehören diese Bestände zu den artenreichsten Lebensräumen der gemäßigten europäischen Küste. Die Flora wechselt mit dem Regionalklima, mit dem Charakter des Substrats — von sauer bis stark kalkhaltig — und mit der örtlichen Dünentopographie. Einzelne Dünensysteme reichen von schmalen Streifen bis zu ausgedehnten Landschaften; die meisten sind allerdings kein dynamisches Sukzessionsstadium, sondern werden in einem mehr oder weniger stabilen, festgelegten Zustand gehalten. Früher wurden sie häufig beweidet oder gemäht, und die fehlende Dünenfestlegung verhinderte die Entwicklung dichter, hochwüchsiger Grasbestände ebenso wie von Gebüsch und Wald. Der Lebensraum ist in den meisten Ländern gefährdet durch die Aufgabe traditioneller Bewirtschaftung, durch Eutrophierung infolge von Stickstoffeintrag, durch Übernutzung und durch Verstädterung, oft im Zusammenhang mit dem Tourismus.",situs@0.7.0,situs
habitat_type,eunis@2021:N16,de,description,"Stabile (Grau-)Dünen festgelegter Sande an den Küsten des Mittelmeers und Makaronesiens sowie an den thermo-atlantischen Küsten Portugals, Südwestspaniens und Nordafrikas, landeinwärts der Winderosion und des Salzeintrags gelegen. Sie tragen eine mehr oder weniger geschlossene Decke aus Gräsern und Kräutern, oft mit einem Anteil farbenprächtiger Frühjahrseinjähriger, die die frühen Regen ausnutzen. Die Flora wechselt mit dem Regionalklima und der Dünentopographie. Die Bestände können ein vorübergehendes Stadium darstellen, das hartlaubigem immergrünem Gebüsch und Wald weicht, oder an Standorten, die für Gebüsch ungeeignet sind, dauerhafteres Grasland bilden. In weiten Teilen des Mittelmeerraums ist der Lebensraum zerstört, durch die Ausbreitung gebietsfremder Arten beeinträchtigt oder stark von Tourismus, Verstädterung, Infrastrukturausbau, Ackerbau, Stickstoffeintrag und Aufforstung überformt.",situs@0.7.0,situs
habitat_type,eunis@2021:N17,de,description,"Dünengrasland auf festgelegten oder halbfestgelegten Küstensanden am Schwarzen Meer, überwiegend an dessen West- und Nordwestküste und heute nur noch sehr kleinflächig. Am besten entwickelt sind die Dünen an breiteren, flacheren Küstenabschnitten; die Rücken schwanken von wenigen Metern bis über 50 m Höhe, mit feuchten Senken dazwischen. Die Flora ist wechselhaft und verschiebt sich nach Norden hin vom mediterranen zum pontischen Bereich, mit zahlreichen regional endemischen Gräsern und Kräutern. Ausdauernde Arten herrschen vor, doch können auf beweglicheren Sandabschnitten der Rücken auffällige Bestände einjähriger Arten auftreten. An nordexponierten, weniger besonnten Hängen können Moose und Flechten großflächig entwickelt sein.",situs@0.7.0,situs
habitat_type,eunis@2021:N18,de,description,"Heide auf stabilen, entkalkten Dünensanden entlang der kühleren nordatlantischen und der Ostseeküsten Europas, beherrscht von Empetrum nigrum, mit oder ohne Calluna vulgaris, oder in Dünentälern, wo auch Erica tetralix häufig sein oder Empetrum bei gleicher Begleitflora sogar ersetzen kann. Der Lebensraum bleibt dort bestehen, wo Windexposition oder leichte Beweidung die Sukzession zu Gebüsch oder Wald verhindern. Trockene Empetrum-Heiden sind vermutlich durch steigende Temperaturen und geringere Niederschläge im Frühjahr und Sommer gefährdet.",situs@0.7.0,situs
habitat_type,eunis@2021:N19,de,description,"Heide auf stabilen, entkalkten, stark dränenden Dünensanden entlang der wärmeren, feuchteren Atlantikküste Europas, beherrscht von Calluna vulgaris, Erica-Arten, Ulex-Arten oder anderen niedrigen dornigen Schmetterlingsblütlern, oft mit einem hohen Anteil an Gräsern und Seggen. Der Lebensraum bleibt dort bestehen, wo Windexposition oder leichte Beweidung die Sukzession zu Gebüsch oder Wald verhindern.",situs@0.7.0,situs
habitat_type,eunis@2021:N1A,de,description,Gebüsch aus einer großen Vielfalt niedriger bis hoher Sträucher auf festgelegten trockenen Dünensanden und in Dünentälern entlang der Atlantik- und Ostseeküsten. Die Zusammensetzung wechselt mit dem Regionalklima und den Bodenverhältnissen. Niedermoorvegetation mit niedrigem Salix repens sowie Grasland mit Rosa spinosissima gehören nicht dazu.,situs@0.7.0,situs
habitat_type,eunis@2021:N1B,de,description,"Gebüsch aus einer großen Vielfalt niedriger bis hoher Sträucher auf festgelegten trockenen Dünensanden entlang der Mittelmeer- und Schwarzmeerküsten, oft in Dünengrasland oder Wald übergehend; die begleitende Krautflora zeigt Elemente dieser benachbarten Vegetationstypen oder Mosaike.",situs@0.7.0,situs
habitat_type,eunis@2021:N1C,de,description,Oft lückiges Gebüsch auf Küstendünensanden im ariden mediterranen Klima von Teilen des Kanarischen Archipels.,situs@0.7.0,situs
habitat_type,eunis@2021:N1D,de,description,"Ein Waldtyp mit großer Variationsbreite, der von verhältnismäßig offenen bis geschlossenen Wäldern auf atlantischen und baltischen Küstendünen reicht. Er entwickelt sich dort, wo stabilere Küstensande von Laubbäumen besiedelt werden, die den örtlichen Boden- und Klimaverhältnissen entsprechen. Er umfasst Wälder trockener wie feuchter Standorte, auf kalkhaltigen und sauren Sanden und entlang des klimatischen Gradienten von Südnorwegen und dem Baltikum bis nach Mittelportugal. Viele dieser Wälder sind in ihrer floristischen Zusammensetzung nicht von Beständen desselben allgemeinen Typs im Binnenland zu unterscheiden.",situs@0.7.0,situs
habitat_type,eunis@2021:N1E,de,description,"Natürliche oder naturnahe Baum- und Baum-Strauch-Bestände auf Küstendünen entlang der Schwarzmeerküste. Die Wälder auf größeren Dünen tragen xerotherme Züge, die Bäume sind klein und stark verzweigt, während auf kleineren Dünen eher Arten der Auwälder auftreten. Lianen sind häufig. Ungestörte Bestände werden zwar von einheimischen Arten beherrscht, doch können invasive Neophyten wie Amorpha fruticosa, Robinia pseudoacacia und Elaeagnus angustifolia häufig sein.",situs@0.7.0,situs
habitat_type,eunis@2021:N1F,de,description,"Wälder auf Küstendünen der Ostseeküste, beherrscht von Pinus sylvestris. Viele dieser Wälder sind in ihrer floristischen Zusammensetzung nicht von Beständen desselben allgemeinen Typs im Binnenland zu unterscheiden.",situs@0.7.0,situs
habitat_type,eunis@2021:N1G,de,description,"Wälder auf Küstendünen im Mittelmeerraum werden von verschiedenen Kiefernarten beherrscht. Viele Bestände sind gepflanzt. Daneben treten zahlreiche andere Gehölze auf, darunter Sträucher wie Wacholder. Übersteigt die Deckung der Sträucher die der Kiefern, ist der Bestand dem Lebensraum N19 (Gebüsch der Küstendünen des Mittelmeers und des Schwarzen Meeres) zuzuordnen.",situs@0.7.0,situs
habitat_type,eunis@2021:N1H,de,description,"Dünentäler entstehen in atlantischen und baltischen Dünensystemen als feuchte bis nasse Senken zwischen den Dünenrücken. Primäre Dünentäler gehen aus der Entwicklung des Systems Strand–Düne–Dünental hervor, sekundäre entstehen, wo Windausblasungen das Sandniveau bis auf die Höhe des Grundwassers abgesenkt haben oder — im Wattenmeer ungewöhnlich — wo Teile von Barriereinseln gelegentlich von Tidehochwasser überflutet werden (sogenannte „Grüne Strände""). Der Wasserstand schwankt jahreszeitlich, im Ostseeraum weniger stark; auch die mittlere Nässe der Täler ist verschieden, sodass die Vegetationsspanne beträchtlich ist: von Pioniervegetation aus Zwergbinsen und Moosen über Feuchtgrasland bis zu verschiedenen Moor- und Sumpftypen, mit dauerhaften offenen Wasserflächen und Wasserpflanzen.",situs@0.7.0,situs
habitat_type,eunis@2021:N1J,de,description,"Kleine dauerhafte oder temporäre Süßwasserkörper, die sich in den Senken zwischen den Sandrücken der Dünensysteme an den Mittelmeer- und Schwarzmeerküsten bilden. Die Vegetation hängt von der stark wechselnden Wassertiefe und Wasserdauer ab sowie vom Nährstoffgehalt, der meist eutroph bis mesotroph, örtlich aber dystroph ist. In den offenen Wasserflächen können Wasserpflanzengesellschaften auftreten, an den Rändern Sümpfe; trocknen die Senken im Sommer aus, können salzige Verhältnisse entstehen, die von kurzlebigen Arten besiedelt werden.",situs@0.7.0,situs
habitat_type,eunis@2021:N21,de,description,"Diese Geröll- und Kiesablagerungen sind vor allem für hochdynamische Strände der Atlantik-, Arktis- und Ostseeküsten kennzeichnend, mit Schwerpunkten am Ärmelkanal. Oft beweglich und weitgehend vegetationsfrei, bieten sie einen unwirtlichen Standort, der nur an stabileren Stellen — mit etwas Ablagerung feineren Materials und Spülsaumdetritus — von einer eigenständigen Gruppe salztoleranter und nitrophiler ausdauernder Pflanzen besiedelt wird. Sie bieten zugleich Lebensraum für einige brütende Watvögel und Seevögel sowie für eine Vielzahl charakteristischer Wirbelloser. Örtlich, in Südengland und im Ostseeraum, sind größere Anlandungsstrände ausgedehnter von Vegetation besiedelt.",situs@0.7.0,situs
habitat_type,eunis@2021:N22,de,description,"Kies- und Geröllstrände an dynamischen Küsten des Mittelmeers und des Schwarzen Meeres, wo die Brandung — überwiegend im Winter — Kliffs abträgt und das erodierte Material wieder ablagert. Vermischt mit Muschelschalen sowie angeschwemmten, verrottenden Algen und Seegras entsteht eine stickstoffreiche Oberfläche, die fleckenhaft und unstet von einjährigen und einigen ausdauernden Arten, mitunter auch von Ruderalgesellschaften besiedelt wird. Obwohl weit verbreitet, sind die Bestände schmal und kleinflächig und durch Tourismus und Küstenbebauung stark gefährdet.",situs@0.7.0,situs
habitat_type,eunis@2021:N31,de,description,"Kliffs samt ihrer bewachsenen Spalten, Simse und Kliffoberkanten entlang der Küsten von Ostsee, Nordsee und Atlantik bis nach Mittelportugal. Anstehendes Gestein beherrscht den Lebensraum, und dessen sehr wechselhafte Zusammensetzung und Struktur bestimmen den Charakter der verfügbaren Flächen. Höhe und Neigung der Kliffs beeinflussen den Eintrag von Salzgischt, der an exponierten Küsten nahe dem Meer sehr hoch sein kann. Dieses Zusammenspiel örtlicher Klima- und Reliefverhältnisse bedingt die oft ausgeprägte Zonierung von Spaltenvegetation, Grasland und Heiden auf den Kliffs; auch das Regionalklima prägt die Flora. Brütende Seevögel fügen ihr über ihren Guano ein eigenes, nährstoffbedürftiges Element hinzu.",situs@0.7.0,situs
habitat_type,eunis@2021:N32,de,description,"Kliffs samt ihrer bewachsenen Spalten, Simse und Kliffoberkanten entlang der Mittelmeerküsten und der Atlantikküste Südportugals sowie, kleinflächiger, des Schwarzen Meeres. Anstehendes Gestein beherrscht den Lebensraum, und dessen wechselhafte Zusammensetzung und Struktur bestimmen den Charakter der verfügbaren Flächen; Höhe und Neigung der Kliffs beeinflussen den Eintrag von Salzgischt, der an exponierten Küsten nahe dem Meer sehr hoch sein kann. Dieses Zusammenspiel örtlicher Klima- und Reliefverhältnisse bedingt die oft ausgeprägte Zonierung von Spaltenvegetation und Grasland auf den Kliffs; auch das Regionalklima prägt die Flora, die viele mediterrane Endemiten enthält.",situs@0.7.0,situs
habitat_type,eunis@2021:N33,de,description,"Die Felsklippen der makaronesischen Inseln bilden einen schmalen, von Salzgischt beeinflussten Streifen aus Basaltlava; die Zonierung der Spalten- und Simsvegetation ist auf den Inselgruppen der Kanaren, Madeiras und der Azoren verschieden, und Endemiten geben der Flora ein ausgesprochen eigenständiges Gepräge. Der Lebensraum stellt zudem wichtige Brutplätze für Seevögel bereit, deren Guano eine nährstoffreiche Oberfläche für die Besiedlung schafft.",situs@0.7.0,situs
habitat_type,eunis@2021:N34,de,description,"Lehmige Küstenkliffs mit einem Untergrund aus Tonen, Schiefertonen oder lehmigen Sanden erodieren weit schneller als Kliffs über hartem Gestein; sie sind deshalb meist weniger steil und oft instabil. An den Atlantik- und Ostseeküsten beherbergen sie verhältnismäßig häufige und weit verbreitete Arten, auch wenn eine Reihe verschiedener Kleinlebensräume auftreten kann: kurzlebige Pflanzengesellschaften auf den offenen Sedimenten, hochwüchsiges Grasland und Gebüsch auf stabilerem Untergrund sowie Quellfluren im Bereich von Sickerwasseraustritten.",situs@0.7.0,situs
habitat_type,eunis@2021:N35,de,description,"Weiche Küstenkliffs am Mittelmeer und am Schwarzen Meer, die aus leicht erodierbaren Tonen, Schiefertonen und Sanden bestehen. Meist haben sie flach geneigte und oft instabile Oberflächen mit einem Mosaik aus offenem Boden, Pioniervegetation, Gebüsch und von Sickerwasser beeinflussten Quellfluren. Dieser Lebensraum ist wenig untersucht; zu seinen ökologischen und floristischen Eigenschaften liegen kaum Angaben vor.",situs@0.7.0,situs
habitat_type,eunis@2021:Q11,de,description,"Die Mooroberfläche und der darunterliegende Torf stark oligotropher, ausgeprägt saurer Moore mit aufgewölbtem Zentrum, von dem das Wasser zu den Rändern hin abfließt. Der Torf besteht überwiegend aus Torfmoosresten. Hochmoore bilden sich auf nahezu ebenem Gelände und sind ombrotroph, beziehen Wasser und Nährstoffe also allein aus dem Niederschlag. Hochmoorkomplexe umfassen größere und kleinere Moorkolke, Schlenken, erhöhte Bulte und die jeweils zugehörige Vegetation. Hochmoore entstehen nur in kühlen, niederschlagsreichen Klimaten; am weitesten verbreitet sind sie in der borealen Zone sowie in den Gebirgen und Hügelländern der gemäßigten Zone, örtlich treten sie auch in deren Tieflagen auf. Kennzeichnend sind sie für die Tief- und Hügelländer Nordwest- und Nordeuropas, die angrenzenden herzynischen Gebirge, den Jura, die Alpen und die Karpaten. Neben den oft reichlich vorhandenen Torfmoosen wie Sphagnum fuscum, S. magellanicum aggr. und S. majus beherbergen sie eine kleine Zahl von Zwergsträuchern wie Andromeda polifolia, Rhododendron tomentosum und Vaccinium oxycoccos, Seggen wie Carex magellanica, Carex pauciflora, Eriophorum vaginatum und Trichophorum cespitosum sowie weitere Moose und Flechten.",situs@0.7.0,situs
habitat_type,eunis@2021:Q12,de,description,"Die Mooroberfläche und der darunterliegende Torf ombrotropher Moore, die auf ebenem oder schwach geneigtem Gelände mit schlechtem Oberflächenabfluss in ozeanischen, niederschlagsreichen Klimaten entstehen. Auf flacherem Gelände kann die Mooroberfläche der eines Hochmoors sehr ähneln, mit einem Komplex aus kleinen Kolken und trockenen Bulten. Deckenmoore sind ein Lebensraum Nordwesteuropas, kennzeichnend für die westlichen und nördlichen Britischen Inseln, die Färöer und die Westküste Skandinaviens, mit kleinen Vorposten in Frankreich, Portugal und Spanien. Sie bedecken oft große Flächen, wobei örtliche Reliefformen eigene Gesellschaften tragen. Torfmoose wie Sphagnum compactum, S. papillosum, S. rubellum und S. tenellum spielen überall eine wichtige Rolle, begleitet von Calluna vulgaris, Eriophorum angustifolium, E. vaginatum, Molinia caerulea, Narthecium ossifragum, Schoenus nigricans und Trichophorum cespitosum. Deckenmoorkomplexe schließen neben der Mooroberfläche auch dystrophe Kolke und saure Quellfluren ein.",situs@0.7.0,situs
